"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"Database by themes"	"data"	"folder"	" "	" "	" "	" "	
"    General and regional statistics"	"general"	"folder"	" "	" "	" "	" "	
"        European and national indicators for short-term analysis"	"euroind"	"folder"	" "	" "	" "	" "	
"            Balance of payments"	"ei_bp"	"folder"	" "	" "	" "	" "	
"                Current account - quarterly data"	"ei_bpm6ca_q"	"table"	"07.10.2025"	"07.10.2025"	"1991-Q1"	"2025-Q2"	295233
"                Financial account - quarterly data"	"ei_bpm6fa_q"	"table"	"07.10.2025"	"06.10.2025"	"1991-Q1"	"2025-Q2"	52168
"                Current account - monthly data"	"ei_bpm6ca_m"	"table"	"20.10.2025"	"20.10.2025"	"1991-01"	"2025-08"	246436
"                Financial account - monthly data"	"ei_bpm6fa_m"	"table"	"20.10.2025"	"20.10.2025"	"1991-01"	"2025-08"	81138
"                International investment position - quarterly data"	"ei_bpm6iip_q"	"table"	"08.10.2025"	"07.10.2025"	"1992-Q4"	"2025-Q2"	64413
"            Business and consumer surveys"	"ei_bcs"	"folder"	" "	" "	" "	" "	
"                Business and consumer survey - composite indicators"	"ei_bcs_mi"	"folder"	" "	" "	" "	" "	
"                    Economic sentiment and confidence indicators by sector - monthly data"	"ei_bssi_m_r2"	"dataset"	"29.09.2025"	"29.09.2025"	"1980-01"	"2025-09"	132542
"                        Confidence indicators by sector"	"teibs020"	"table"	"29.09.2025"	"29.09.2025"	"2024-10"	"2025-09"	1980
"                        Economic sentiment indicator"	"teibs010"	"table"	"29.09.2025"	"29.09.2025"	"2024-10"	"2025-09"	408
"                    Employment expectations indicators - monthly data"	"ei_bsee_m_r2"	"dataset"	"29.09.2025"	"29.09.2025"	"1980-01"	"2025-09"	60689
"                        Employment expectations by sectors"	"teibs040"	"table"	"29.09.2025"	"29.09.2025"	"2024-10"	"2025-09"	1584
"                        Employment expectations indicator"	"teibs030"	"table"	"29.09.2025"	"29.09.2025"	"2024-10"	"2025-09"	397
"                    Euro area business climate indicator - monthly data"	"ei_bsci_m_r2"	"dataset"	"29.09.2025"	"29.09.2025"	"1985-01"	"2025-09"	489
"                    Labour hoarding indicators - monthly data"	"ei_bslh_m_r2"	"dataset"	"29.09.2025"	"29.09.2025"	"1980-03"	"2025-09"	68465
