Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T2;423.107
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2025T1;396.525
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T4;420.831
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T3;394.243
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T2;401.519
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2024T1;377.737
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T4;395.726
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T3;369.727
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T2;376.132
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2023T1;356.176
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T4;368.712
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T3;342.446
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T2;344.225
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T1;320.480
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T4;336.718
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T3;307.204
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T2;306.581
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T1;284.971
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T4;302.397
