DATAFLOW,REF_AREA,MEASURE,SCENARIO,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,DECIMALS
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU2,A,2026,20202.1260256853,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU2,A,2027,20497.32,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU2,A,2028,20816.08,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU2,A,2029,21156.57,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU2,A,2030,21516.4,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU1,A,2026,20202.1260256853,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU1,A,2027,20505.27,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU1,A,2028,20839.45,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU1,A,2029,21202.28,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,BAU1,A,2030,21590.94,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,ET4,A,2026,20202.1260256853,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,ET4,A,2027,20432.47,,USD_PPP_PS,0,2
OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),A5,GDPVTRD_CAP,ET4,A,2028,20695.81,,USD_PPP_PS,0,2
